district,category,total18,total19,total20,total21,ytd2022,updated,last12mos,total_prior3years,avg_prior3years,inc_19to21,inc_19tolast12,inc_21tolast12,inc_prior3yearavgtolast12,rate19,rate20,rate21,rate_last12,rate_prior3years
Citywide,Homicide,46,41,48,56,53,2022-12-11,57,145,48.3,36.6,39,1.8,18,5,5.9,6.9,7,5.9
Citywide,Rape,435,396,224,204,220,2022-12-11,231,824,274.7,-48.5,-41.7,13.2,-16,48.6,27.5,25,28.3,33.7
Citywide,Robbery,3228,3099,2404,2242,2256,2022-12-11,2362,7745,2581.7,-27.7,-23.8,5.4,-9,380.2,294.9,275,289.7,316.7
Citywide,Aggravated Assault,2639,2547,2183,2381,2460,2022-12-11,2568,7111,2370.3,-6.5,0.8,7.9,8,312.4,267.8,292.1,315,290.8
Citywide,Human Trafficking - Sex Act,109,51,24,29,17,2022-12-11,0,104,34.7,-43.1,-100,-100,-100,6.3,2.9,3.6,0,4.3
Citywide,Human Trafficking - Inv Serv,1,0,0,0,1,2022-12-11,0,0,0,NA,NA,NA,NA,0,0,0,0,0
Citywide,Burglary,5685,4961,7575,7217,5514,2022-12-11,5880,19753,6584.3,45.5,18.5,-18.5,-11,608.6,929.2,885.3,721.3,807.7
Citywide,Larceny Theft,42610,42022,25692,31139,33032,2022-12-11,34899,98853,32951,-25.9,-17,12.1,6,5154.8,3151.6,3819.8,4281,4042.1
Citywide,Motor Vehicle Theft,4363,4442,6082,6030,5925,2022-12-11,6279,16554,5518,35.7,41.4,4.1,14,544.9,746.1,739.7,770.2,676.9
Citywide,Arson,288,285,411,387,279,2022-12-11,287,1083,361,35.8,0.7,-25.8,-20,35,50.4,47.5,35.2,44.3
