district,crime,total22,total21,update
Bayview,ARSON,1,3,2022-09-30
Bayview,ASSAULT,29,47,2022-09-30
Bayview,BURGLARY,40,29,2022-09-30
Bayview,HOMICIDE,3,1,2022-09-30
Bayview,HUMAN TRAFFICKING - INV SERV,0,0,2022-09-30
Bayview,HUMAN TRAFFICKING - SEX ACT,0,1,2022-09-30
Bayview,LARCENY THEFT,149,147,2022-09-30
Bayview,MOTOR VEHICLE THEFT,91,66,2022-09-30
Bayview,RAPE,3,2,2022-09-30
Bayview,ROBBERY,19,17,2022-09-30
Bayview,TOTAL,335,313,2022-09-30
Central,ARSON,10,3,2022-09-30
Central,ASSAULT,16,16,2022-09-30
Central,BURGLARY,53,69,2022-09-30
Central,HOMICIDE,0,0,2022-09-30
Central,HUMAN TRAFFICKING - INV SERV,0,0,2022-09-30
Central,HUMAN TRAFFICKING - SEX ACT,0,1,2022-09-30
Central,LARCENY THEFT,963,697,2022-09-30
Central,MOTOR VEHICLE THEFT,35,36,2022-09-30
Central,RAPE,1,3,2022-09-30
Central,ROBBERY,36,30,2022-09-30
Central,TOTAL,1114,855,2022-09-30
Citywide,ARSON,29,23,2022-09-30
Citywide,ASSAULT,272,243,2022-09-30
Citywide,BURGLARY,512,558,2022-09-30
Citywide,HOMICIDE,7,7,2022-09-30
Citywide,HUMAN TRAFFICKING - INV SERV,0,1,2022-09-30
Citywide,HUMAN TRAFFICKING - SEX ACT,1,5,2022-09-30
Citywide,LARCENY THEFT,3338,3041,2022-09-30
Citywide,MOTOR VEHICLE THEFT,584,464,2022-09-30
Citywide,RAPE,21,17,2022-09-30
Citywide,ROBBERY,226,177,2022-09-30
Citywide,TOTAL,4990,4536,2022-09-30
Ingleside,ARSON,0,1,2022-09-30
Ingleside,ASSAULT,24,18,2022-09-30
Ingleside,BURGLARY,65,56,2022-09-30
Ingleside,HOMICIDE,0,0,2022-09-30
Ingleside,HUMAN TRAFFICKING - INV SERV,0,1,2022-09-30
Ingleside,HUMAN TRAFFICKING - SEX ACT,0,0,2022-09-30
Ingleside,LARCENY THEFT,188,127,2022-09-30
Ingleside,MOTOR VEHICLE THEFT,94,70,2022-09-30
Ingleside,RAPE,0,1,2022-09-30
Ingleside,ROBBERY,29,16,2022-09-30
Ingleside,TOTAL,400,290,2022-09-30
Mission,ARSON,5,4,2022-09-30
Mission,ASSAULT,41,38,2022-09-30
Mission,BURGLARY,66,67,2022-09-30
Mission,HOMICIDE,0,2,2022-09-30
Mission,HUMAN TRAFFICKING - INV SERV,0,0,2022-09-30
Mission,HUMAN TRAFFICKING - SEX ACT,0,0,2022-09-30
Mission,LARCENY THEFT,277,266,2022-09-30
Mission,MOTOR VEHICLE THEFT,110,58,2022-09-30
Mission,RAPE,2,4,2022-09-30
Mission,ROBBERY,42,29,2022-09-30
Mission,TOTAL,543,468,2022-09-30
Northern,ARSON,7,5,2022-09-30
Northern,ASSAULT,31,25,2022-09-30
Northern,BURGLARY,100,110,2022-09-30
Northern,HOMICIDE,3,1,2022-09-30
Northern,HUMAN TRAFFICKING - INV SERV,0,0,2022-09-30
Northern,HUMAN TRAFFICKING - SEX ACT,0,0,2022-09-30
Northern,LARCENY THEFT,583,0,2022-09-30
Northern,MOTOR VEHICLE THEFT,63,56,2022-09-30
Northern,RAPE,2,3,2022-09-30
Northern,ROBBERY,28,26,2022-09-30
Northern,TOTAL,817,741,2022-09-30
Park,ARSON,0,2,2022-09-30
Park,ASSAULT,10,5,2022-09-30
Park,BURGLARY,34,43,2022-09-30
Park,HOMICIDE,0,1,2022-09-30
Park,HUMAN TRAFFICKING - INV SERV,0,0,2022-09-30
Park,HUMAN TRAFFICKING - SEX ACT,0,0,2022-09-30
Park,LARCENY THEFT,185,183,2022-09-30
Park,MOTOR VEHICLE THEFT,33,16,2022-09-30
Park,RAPE,1,0,2022-09-30
Park,ROBBERY,4,4,2022-09-30
Park,TOTAL,267,254,2022-09-30
Richmond,ARSON,1,0,2022-09-30
Richmond,ASSAULT,9,10,2022-09-30
Richmond,BURGLARY,28,35,2022-09-30
Richmond,HOMICIDE,0,0,2022-09-30
Richmond,HUMAN TRAFFICKING - INV SERV,0,0,2022-09-30
Richmond,HUMAN TRAFFICKING - SEX ACT,0,0,2022-09-30
Richmond,LARCENY THEFT,247,295,2022-09-30
Richmond,MOTOR VEHICLE THEFT,26,25,2022-09-30
Richmond,RAPE,1,0,2022-09-30
Richmond,ROBBERY,8,9,2022-09-30
Richmond,TOTAL,320,374,2022-09-30
Southern,ARSON,1,1,2022-09-30
Southern,ASSAULT,41,32,2022-09-30
Southern,BURGLARY,61,74,2022-09-30
Southern,HOMICIDE,0,1,2022-09-30
Southern,HUMAN TRAFFICKING - INV SERV,0,0,2022-09-30
Southern,HUMAN TRAFFICKING - SEX ACT,0,0,2022-09-30
Southern,LARCENY THEFT,323,438,2022-09-30
Southern,MOTOR VEHICLE THEFT,43,56,2022-09-30
Southern,RAPE,5,2,2022-09-30
Southern,ROBBERY,16,20,2022-09-30
Southern,TOTAL,490,624,2022-09-30
Taraval,ARSON,0,2,2022-09-30
Taraval,ASSAULT,8,10,2022-09-30
Taraval,BURGLARY,50,50,2022-09-30
Taraval,HOMICIDE,0,0,2022-09-30
Taraval,HUMAN TRAFFICKING - INV SERV,0,0,2022-09-30
Taraval,HUMAN TRAFFICKING - SEX ACT,0,0,2022-09-30
Taraval,LARCENY THEFT,244,231,2022-09-30
Taraval,MOTOR VEHICLE THEFT,65,60,2022-09-30
Taraval,RAPE,1,1,2022-09-30
Taraval,ROBBERY,11,8,2022-09-30
Taraval,TOTAL,379,362,2022-09-30
Tenderloin,ARSON,4,2,2022-09-30
Tenderloin,ASSAULT,63,41,2022-09-30
Tenderloin,BURGLARY,15,25,2022-09-30
Tenderloin,HOMICIDE,1,1,2022-09-30
Tenderloin,HUMAN TRAFFICKING - INV SERV,0,0,2022-09-30
Tenderloin,HUMAN TRAFFICKING - SEX ACT,0,1,2022-09-30
Tenderloin,LARCENY THEFT,148,117,2022-09-30
Tenderloin,MOTOR VEHICLE THEFT,20,21,2022-09-30
Tenderloin,RAPE,5,0,2022-09-30
Tenderloin,ROBBERY,33,17,2022-09-30
Tenderloin,TOTAL,289,225,2022-09-30
