district,category,ytd2022,ytd2021,updated
Bayview,ARSON,1,1,2023-01-15
Bayview,ASSAULT,14,7,2023-01-15
Bayview,BURGLARY,24,31,2023-01-15
Bayview,HOMICIDE,0,0,2023-01-15
Bayview,HUMAN TRAFFICKING - SEX ACT,0,0,2023-01-15
Bayview,LARCENY THEFT,38,67,2023-01-15
Bayview,MOTOR VEHICLE THEFT,43,38,2023-01-15
Bayview,RAPE,0,2,2023-01-15
Bayview,ROBBERY,12,8,2023-01-15
Bayview,TOTAL,132,154,2023-01-15
Central,ARSON,0,0,2023-01-15
Central,ASSAULT,10,8,2023-01-15
Central,BURGLARY,33,27,2023-01-15
Central,HOMICIDE,0,0,2023-01-15
Central,HUMAN TRAFFICKING - SEX ACT,0,0,2023-01-15
Central,LARCENY THEFT,268,214,2023-01-15
Central,MOTOR VEHICLE THEFT,12,18,2023-01-15
Central,RAPE,0,1,2023-01-15
Central,ROBBERY,7,15,2023-01-15
Central,TOTAL,330,283,2023-01-15
Citywide,ARSON,12,17,2023-01-15
Citywide,ASSAULT,92,93,2023-01-15
Citywide,BURGLARY,214,255,2023-01-15
Citywide,HOMICIDE,2,2,2023-01-15
Citywide,HUMAN TRAFFICKING - SEX ACT,1,0,2023-01-15
Citywide,LARCENY THEFT,980,1256,2023-01-15
Citywide,MOTOR VEHICLE THEFT,205,270,2023-01-15
Citywide,RAPE,2,7,2023-01-15
Citywide,ROBBERY,91,90,2023-01-15
Citywide,TOTAL,1599,1990,2023-01-15
Ingleside,ARSON,3,0,2023-01-15
Ingleside,ASSAULT,8,9,2023-01-15
Ingleside,BURGLARY,17,24,2023-01-15
Ingleside,HOMICIDE,0,1,2023-01-15
Ingleside,HUMAN TRAFFICKING - SEX ACT,0,0,2023-01-15
Ingleside,LARCENY THEFT,31,63,2023-01-15
Ingleside,MOTOR VEHICLE THEFT,41,52,2023-01-15
Ingleside,RAPE,2,0,2023-01-15
Ingleside,ROBBERY,15,3,2023-01-15
Ingleside,TOTAL,117,152,2023-01-15
Mission,ARSON,0,1,2023-01-15
Mission,ASSAULT,20,12,2023-01-15
Mission,BURGLARY,32,38,2023-01-15
Mission,HOMICIDE,1,0,2023-01-15
Mission,HUMAN TRAFFICKING - SEX ACT,1,0,2023-01-15
Mission,LARCENY THEFT,85,145,2023-01-15
Mission,MOTOR VEHICLE THEFT,28,0,2023-01-15
Mission,RAPE,0,0,2023-01-15
Mission,ROBBERY,7,17,2023-01-15
Mission,TOTAL,174,264,2023-01-15
Northern,ARSON,1,5,2023-01-15
Northern,ASSAULT,13,15,2023-01-15
Northern,BURGLARY,48,27,2023-01-15
Northern,HOMICIDE,1,0,2023-01-15
Northern,HUMAN TRAFFICKING - SEX ACT,0,0,2023-01-15
Northern,LARCENY THEFT,194,219,2023-01-15
Northern,MOTOR VEHICLE THEFT,18,28,2023-01-15
Northern,RAPE,0,0,2023-01-15
Northern,ROBBERY,9,11,2023-01-15
Northern,TOTAL,284,305,2023-01-15
Park,ARSON,0,3,2023-01-15
Park,ASSAULT,0,3,2023-01-15
Park,BURGLARY,12,20,2023-01-15
Park,HOMICIDE,0,0,2023-01-15
Park,HUMAN TRAFFICKING - SEX ACT,0,0,2023-01-15
Park,LARCENY THEFT,56,66,2023-01-15
Park,MOTOR VEHICLE THEFT,7,9,2023-01-15
Park,RAPE,0,0,2023-01-15
Park,ROBBERY,2,4,2023-01-15
Park,TOTAL,77,105,2023-01-15
Richmond,ARSON,2,0,2023-01-15
Richmond,ASSAULT,4,4,2023-01-15
Richmond,BURGLARY,14,22,2023-01-15
Richmond,HOMICIDE,0,0,2023-01-15
Richmond,HUMAN TRAFFICKING - SEX ACT,0,0,2023-01-15
Richmond,LARCENY THEFT,100,134,2023-01-15
Richmond,MOTOR VEHICLE THEFT,13,10,2023-01-15
Richmond,RAPE,0,0,2023-01-15
Richmond,ROBBERY,7,3,2023-01-15
Richmond,TOTAL,140,173,2023-01-15
Southern,ARSON,2,6,2023-01-15
Southern,ASSAULT,10,10,2023-01-15
Southern,BURGLARY,13,37,2023-01-15
Southern,HOMICIDE,0,1,2023-01-15
Southern,HUMAN TRAFFICKING - SEX ACT,0,0,2023-01-15
Southern,LARCENY THEFT,86,171,2023-01-15
Southern,MOTOR VEHICLE THEFT,18,18,2023-01-15
Southern,RAPE,0,0,2023-01-15
Southern,ROBBERY,12,11,2023-01-15
Southern,TOTAL,141,254,2023-01-15
Taraval,ARSON,1,0,2023-01-15
Taraval,ASSAULT,3,5,2023-01-15
Taraval,BURGLARY,15,14,2023-01-15
Taraval,HOMICIDE,0,0,2023-01-15
Taraval,HUMAN TRAFFICKING - SEX ACT,0,0,2023-01-15
Taraval,LARCENY THEFT,67,101,2023-01-15
Taraval,MOTOR VEHICLE THEFT,17,36,2023-01-15
Taraval,RAPE,0,1,2023-01-15
Taraval,ROBBERY,3,3,2023-01-15
Taraval,TOTAL,106,160,2023-01-15
Tenderloin,ARSON,2,1,2023-01-15
Tenderloin,ASSAULT,10,20,2023-01-15
Tenderloin,BURGLARY,6,15,2023-01-15
Tenderloin,HOMICIDE,0,0,2023-01-15
Tenderloin,HUMAN TRAFFICKING - SEX ACT,0,0,2023-01-15
Tenderloin,LARCENY THEFT,45,59,2023-01-15
Tenderloin,MOTOR VEHICLE THEFT,7,10,2023-01-15
Tenderloin,RAPE,0,3,2023-01-15
Tenderloin,ROBBERY,16,15,2023-01-15
Tenderloin,TOTAL,86,123,2023-01-15
