district,category,total20,total21,total22,total23,last12mos,asofdate,total_prior4years,avg_prior4years,inc_20to23,inc_20tolast12,inc_23tolast12,inc_prior4yearavgtolast12,rate20,rate21,rate22,rate23,rate_last12,rate_prior4years
Citywide,Homicide,48,56,56,54,48,2024-04-28,214,53.5,12.5,0,-11.1,-10,5.9,6.9,6.9,6.6,5.9,6.6
Citywide,Rape,202,204,262,222,210,2024-04-28,890,222.5,9.9,4,-5.4,-6,24.8,25,32.1,27.2,25.8,27.3
Citywide,Robbery,2387,2242,2390,2734,2587,2024-04-28,9753,2438.2,14.5,8.4,-5.4,6,292.8,275,293.2,335.4,317.3,299.1
Citywide,Aggravated Assault,2161,2381,2607,2473,2403,2024-04-28,9622,2405.5,14.4,11.2,-2.8,-0,265.1,292.1,319.8,303.4,294.8,295.1
Citywide,Human Trafficking - Sex Act,23,29,18,18,0,2024-04-28,88,22,-21.7,-100,-100,-100,2.8,3.6,2.2,2.2,0,2.7
Citywide,Human Trafficking - Inv Serv,0,0,1,0,0,2024-04-28,1,0.2,NA,NA,NA,-100,0,0,0.1,0,0,0
Citywide,Burglary,7400,7217,6050,5607,5269,2024-04-28,26274,6568.5,-24.2,-28.8,-6,-20,907.8,885.3,742.1,687.8,646.3,805.8
Citywide,Larceny Theft,25190,31139,36627,32247,28032,2024-04-28,125203,31300.8,28,11.3,-13.1,-10,3090,3819.8,4493,3955.7,3438.7,3839.6
Citywide,Motor Vehicle Theft,5987,6030,6327,6687,6370,2024-04-28,25031,6257.8,11.7,6.4,-4.7,2,734.4,739.7,776.1,820.3,781.4,767.6
Citywide,Arson,411,387,355,340,341,2024-04-28,1493,373.2,-17.3,-17,0.3,-9,50.4,47.5,43.5,41.7,41.8,45.8
