district,category,ytd,prior,asofdate
Bayview,ARSON,12,14,4/7/2024
Bayview,ASSAULT,71,83,4/7/2024
Bayview,BURGLARY,118,121,4/7/2024
Bayview,HOMICIDE,2,4,4/7/2024
Bayview,HUMAN TRAFFICKING – SEX ACT,1,0,4/7/2024
Bayview,LARCENY THEFT,272,429,4/7/2024
Bayview,MOTOR VEHICLE THEFT,231,347,4/7/2024
Bayview,RAPE,5,4,4/7/2024
Bayview,ROBBERY,56,87,4/7/2024
Central,ARSON,20,13,4/7/2024
Central,ASSAULT,59,56,4/7/2024
Central,BURGLARY,162,213,4/7/2024
Central,HOMICIDE,0,1,4/7/2024
Central,LARCENY THEFT,1277,2316,4/7/2024
Central,MOTOR VEHICLE THEFT,128,89,4/7/2024
Central,RAPE,8,3,4/7/2024
Central,ROBBERY,76,88,4/7/2024
Ingleside,ARSON,5,9,4/7/2024
Ingleside,ASSAULT,45,64,4/7/2024
Ingleside,BURGLARY,151,151,4/7/2024
Ingleside,HOMICIDE,1,2,4/7/2024
Ingleside,LARCENY THEFT,398,605,4/7/2024
Ingleside,MOTOR VEHICLE THEFT,236,302,4/7/2024
Ingleside,RAPE,5,10,4/7/2024
Ingleside,ROBBERY,62,69,4/7/2024
Mission,ARSON,15,12,4/7/2024
Mission,ASSAULT,102,100,4/7/2024
Mission,BURGLARY,160,180,4/7/2024
Mission,HOMICIDE,1,1,4/7/2024
Mission,HUMAN TRAFFICKING – SEX ACT,0,4,4/7/2024
Mission,LARCENY THEFT,587,757,4/7/2024
Mission,MOTOR VEHICLE THEFT,217,228,4/7/2024
Mission,RAPE,9,10,4/7/2024
Mission,ROBBERY,126,108,4/7/2024
Northern,ARSON,8,12,4/7/2024
Northern,ASSAULT,54,66,4/7/2024
Northern,BURGLARY,175,288,4/7/2024
Northern,HOMICIDE,0,1,4/7/2024
Northern,LARCENY THEFT,1117,1501,4/7/2024
Northern,MOTOR VEHICLE THEFT,133,185,4/7/2024
Northern,RAPE,6,6,4/7/2024
Northern,ROBBERY,60,86,4/7/2024
Park,ARSON,4,1,4/7/2024
Park,ASSAULT,12,19,4/7/2024
Park,BURGLARY,65,81,4/7/2024
Park,LARCENY THEFT,279,380,4/7/2024
Park,MOTOR VEHICLE THEFT,73,85,4/7/2024
Park,RAPE,2,5,4/7/2024
Park,ROBBERY,7,16,4/7/2024
Richmond,ARSON,0,6,4/7/2024
Richmond,ASSAULT,17,20,4/7/2024
Richmond,BURGLARY,108,104,4/7/2024
Richmond,HOMICIDE,0,1,4/7/2024
Richmond,HUMAN TRAFFICKING – SEX ACT,1,1,4/7/2024
Richmond,LARCENY THEFT,549,882,4/7/2024
Richmond,MOTOR VEHICLE THEFT,97,81,4/7/2024
Richmond,ROBBERY,27,39,4/7/2024
Southern,ARSON,7,12,4/7/2024
Southern,ASSAULT,95,101,4/7/2024
Southern,BURGLARY,145,194,4/7/2024
Southern,HOMICIDE,2,1,4/7/2024
Southern,HUMAN TRAFFICKING – SEX ACT,0,1,4/7/2024
Southern,LARCENY THEFT,264,809,4/7/2024
Southern,MOTOR VEHICLE THEFT,142,131,4/7/2024
Southern,RAPE,5,14,4/7/2024
Southern,ROBBERY,58,81,4/7/2024
Taraval,ARSON,2,4,4/7/2024
Taraval,ASSAULT,30,33,4/7/2024
Taraval,BURGLARY,159,140,4/7/2024
Taraval,LARCENY THEFT,543,718,4/7/2024
Taraval,MOTOR VEHICLE THEFT,205,205,4/7/2024
Taraval,RAPE,4,7,4/7/2024
Taraval,ROBBERY,37,38,4/7/2024
Tenderloin,ARSON,6,6,4/7/2024
Tenderloin,ASSAULT,114,105,4/7/2024
Tenderloin,BURGLARY,54,80,4/7/2024
Tenderloin,HOMICIDE,3,2,4/7/2024
Tenderloin,HUMAN TRAFFICKING – SEX ACT,1,0,4/7/2024
Tenderloin,LARCENY THEFT,249,510,4/7/2024
Tenderloin,MOTOR VEHICLE THEFT,49,57,4/7/2024
Tenderloin,RAPE,6,9,4/7/2024
Tenderloin,ROBBERY,82,90,4/7/2024
Citywide,%all%,9774,13831,4/7/2024
Citywide,ARSON,79,90,4/7/2024
Citywide,ASSAULT,602,648,4/7/2024
Citywide,BURGLARY,1297,1553,4/7/2024
Citywide,HOMICIDE,9,13,4/7/2024
Citywide,HUMAN TRAFFICKING – SEX ACT,5,6,4/7/2024
Citywide,LARCENY THEFT,5627,9026,4/7/2024
Citywide,MOTOR VEHICLE THEFT,1513,1719,4/7/2024
Citywide,RAPE,51,73,4/7/2024
Citywide,ROBBERY,591,703,4/7/2024
